"Measurement outcome","Frequency"
"000000","1760"
"000001","58"
"000010","54"
"000011","24"
"000100","39"
"000101","2"
"000110","19"
"000111","24"
"001000","55"
"001001","1"
"001011","1"
"001100","20"
"001101","1"
"001110","18"
"001111","15"
"010000","45"
"010001","2"
"010100","2"
"010110","1"
"010111","3"
"011000","17"
"011010","1"
"011100","24"
"011110","12"
"011111","23"
"100000","166"
"100001","3"
"100010","4"
"100100","5"
"100110","6"
"100111","2"
"101000","8"
"101010","3"
"101011","1"
"101100","10"
"101110","5"
"101111","5"
"110000","125"
"110001","1"
"110010","4"
"110011","2"
"110100","9"
"110101","1"
"110110","7"
"110111","8"
"111000","109"
"111001","1"
"111010","11"
"111011","5"
"111100","91"
"111101","9"
"111110","97"
"111111","81"
